"absences","course","school","sex","age","address","famsize","Medu","Fedu","Mjob","Fjob","guardian","traveltime","studytime","failures","schoolsup","famsup","activities","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","G3","nursery"
6,"math","GP","F",18,"U","GT3",4,4,"at_home","teacher","mother",2,2,0,"yes","no","no","yes","no","no",4,3,4,1,1,3,6,"yes"
4,"math","GP","F",17,"U","GT3",1,1,"at_home","other","father",1,2,0,"no","yes","no","yes","yes","no",5,3,3,1,1,3,6,"no"
10,"math","GP","F",15,"U","LE3",1,1,"at_home","other","mother",1,2,3,"yes","no","no","yes","yes","no",4,3,2,2,3,3,10,"yes"
2,"math","GP","F",15,"U","GT3",4,2,"health","services","mother",1,3,0,"no","yes","yes","yes","yes","yes",3,2,2,1,1,5,15,"yes"
4,"math","GP","F",16,"U","GT3",3,3,"other","other","father",1,2,0,"no","yes","no","yes","no","no",4,3,2,1,2,5,10,"yes"
10,"math","GP","M",16,"U","LE3",4,3,"services","other","mother",1,2,0,"no","yes","yes","yes","yes","no",5,4,2,1,2,5,15,"yes"
0,"math","GP","M",16,"U","LE3",2,2,"other","other","mother",1,2,0,"no","no","no","yes","yes","no",4,4,4,1,1,3,11,"yes"
6,"math","GP","F",17,"U","GT3",4,4,"other","teacher","mother",2,2,0,"yes","yes","no","yes","no","no",4,1,4,1,1,1,6,"yes"
0,"math","GP","M",15,"U","LE3",3,2,"services","other","mother",1,2,0,"no","yes","no","yes","yes","no",4,2,2,1,1,1,19,"yes"
0,"math","GP","M",15,"U","GT3",3,4,"other","other","mother",1,2,0,"no","yes","yes","yes","yes","no",5,5,1,1,1,5,15,"yes"
0,"math","GP","F",15,"U","GT3",4,4,"teacher","health","mother",1,2,0,"no","yes","no","yes","yes","no",3,3,3,1,2,2,9,"yes"
4,"math","GP","F",15,"U","GT3",2,1,"services","other","father",3,3,0,"no","yes","yes","yes","yes","no",5,2,2,1,1,4,12,"yes"
2,"math","GP","M",15,"U","LE3",4,4,"health","services","father",1,1,0,"no","yes","yes","yes","yes","no",4,3,3,1,3,5,14,"yes"
2,"math","GP","M",15,"U","GT3",4,3,"teacher","other","mother",2,2,0,"no","yes","no","yes","yes","no",5,4,3,1,2,3,11,"yes"
0,"math","GP","M",15,"U","GT3",2,2,"other","other","other",1,3,0,"no","yes","no","yes","yes","yes",4,5,2,1,1,3,16,"yes"
4,"math","GP","F",16,"U","GT3",4,4,"health","other","mother",1,1,0,"no","yes","no","yes","yes","no",4,4,4,1,2,2,14,"yes"
6,"math","GP","F",16,"U","GT3",4,4,"services","services","mother",1,3,0,"no","yes","yes","yes","yes","no",3,2,3,1,2,2,14,"yes"
4,"math","GP","F",16,"U","GT3",3,3,"other","other","mother",3,2,0,"yes","yes","yes","yes","no","no",5,3,2,1,1,4,10,"yes"
16,"math","GP","M",17,"U","GT3",3,2,"services","services","mother",1,1,3,"no","yes","yes","yes","yes","no",5,5,5,2,4,5,5,"yes"
4,"math","GP","M",16,"U","LE3",4,3,"health","other","father",1,1,0,"no","no","yes","yes","yes","no",3,1,3,1,3,5,10,"yes"
0,"math","GP","M",15,"U","GT3",4,3,"teacher","other","mother",1,2,0,"no","no","no","yes","yes","no",4,4,1,1,1,1,15,"yes"
0,"math","GP","M",15,"U","GT3",4,4,"health","health","father",1,1,0,"no","yes","no","yes","yes","no",5,4,2,1,1,5,15,"yes"
2,"math","GP","M",16,"U","LE3",4,2,"teacher","other","mother",1,2,0,"no","no","yes","yes","yes","no",4,5,1,1,3,5,16,"yes"
0,"math","GP","M",16,"U","LE3",2,2,"other","other","mother",2,2,0,"no","yes","yes","yes","yes","no",5,4,4,2,4,5,12,"yes"
